"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","gene_symbol","classification"
"ENSG00000072818.12",232.945900074482,0.430465043707157,0.146277617772413,2.94287967857123,0.00325174773606005,0.0418111731842884,"ENSG00000072818","ACAP1","Upregulated"
"ENSG00000072858.11",208.656621611676,0.641403019257404,0.223507235807594,2.86973675254676,0.00410813658914728,0.0481558569878467,"ENSG00000072858","SIDT1","Upregulated"
"ENSG00000072952.19",1031.65492427183,0.579465002830526,0.183042837732765,3.16574498876213,0.00154686339837843,0.026264268969636,"ENSG00000072952","IRAG1","Upregulated"
"ENSG00000072954.7",1029.57762961825,0.55700760757978,0.179046094604987,3.11094633138391,0.00186488829668749,0.0297281635173707,"ENSG00000072954","TMEM38A","Upregulated"
"ENSG00000073111.14",1658.30867156781,-0.769643789344092,0.193538253351979,-3.97679545328849,6.98501985130211e-05,0.00357416075497088,"ENSG00000073111","MCM2","Downregulated"
"ENSG00000073350.14",240.263814498107,0.785289618749335,0.212532824386516,3.69463383133943,0.000220203888851317,0.00732019246918707,"ENSG00000073350","LLGL2","Upregulated"
"ENSG00000073536.18",865.029253918078,-0.297503875043477,0.0864661253954917,-3.44068213986177,0.000580249750514079,0.0138195303964771,"ENSG00000073536","NLE1","Downregulated"
"ENSG00000073921.18",6925.50453366776,0.231488914317652,0.0778731235051256,2.97264068468775,0.00295249867121602,0.0393410809674095,"ENSG00000073921","PICALM","Upregulated"
"ENSG00000074696.13",7211.24788343302,0.303557946035267,0.101322696790811,2.99595250406988,0.00273589043609147,0.037425034090421,"ENSG00000074696","HACD3","Upregulated"
"ENSG00000074800.16",72829.6290423017,-0.424010407113141,0.14745675994086,-2.87549291596335,0.00403397197602761,0.0476778280256948,"ENSG00000074800","ENO1","Downregulated"
"ENSG00000075213.11",762.83745225936,0.919151607773209,0.319929261124135,2.87661506531137,0.00401965613144957,0.0476437112096878,"ENSG00000075213","SEMA3A","Upregulated"
"ENSG00000075218.19",693.108259020836,-0.803178456362102,0.206354401998015,-3.89223511268228,9.93249189005652e-05,0.00441223361960511,"ENSG00000075218","GTSE1","Downregulated"
"ENSG00000075429.9",231.368786973744,-1.25439288283562,0.31927698764961,-3.93788407063863,8.22032905873863e-05,0.00392494533162863,"ENSG00000075429","CACNG5","Downregulated"
"ENSG00000075461.6",3825.53714291602,-0.796049970689048,0.260473647077659,-3.05656006557685,0.0022389261691211,0.0331637132656468,"ENSG00000075461","CACNG4","Downregulated"
"ENSG00000075618.18",16535.0379146014,-0.633023921687305,0.150246900988198,-4.21323139999554,2.5174291739173e-05,0.00177831883966851,"ENSG00000075618","FSCN1","Downregulated"
"ENSG00000075673.12",5.38544504518292,1.07485077600321,0.316548012147831,3.37997052175018,0.000724936045569646,0.0161135710351415,"ENSG00000075673","ATP12A","Upregulated"
"ENSG00000075702.18",716.636249186648,-0.794226559322407,0.209400647391455,-3.79286217926227,0.000148920818053265,0.00572485990939377,"ENSG00000075702","WDR62","Downregulated"
"ENSG00000076382.17",874.20859874929,-0.684659462699819,0.173213798240656,-3.95267386752331,7.72827365103027e-05,0.00379888992501873,"ENSG00000076382","SPAG5","Downregulated"
"ENSG00000076604.15",4884.05235433995,-0.921126686605888,0.194486587554088,-4.73627878721203,2.17678098685169e-06,0.000341731821417529,"ENSG00000076604","TRAF4","Downregulated"
"ENSG00000076716.9",1985.36527162614,0.607767783078266,0.195773204409176,3.10444978549831,0.0019063328377511,0.0301802482259591,"ENSG00000076716","GPC4","Upregulated"
"ENSG00000077152.11",887.707630206188,-0.793552394351096,0.191692751194926,-4.13977502053575,3.47646596965224e-05,0.00222264034328406,"ENSG00000077152","UBE2T","Downregulated"
"ENSG00000077279.19",1844.79986959387,-0.98900714767651,0.335229061145055,-2.95856221555646,0.00309077843900265,0.0405056781003035,"ENSG00000077279","DCX","Downregulated"
"ENSG00000077312.9",1874.99598169292,-0.449031225309813,0.0895871171874144,-5.01223306701527,5.38019815962268e-07,0.000135543085482465,"ENSG00000077312","SNRPA","Downregulated"
