"","gene1","gene2","correlation","pvalue","status"
"20666","PRNP","CCDC169",-0.0758385841872132,0.012220648319904,"Negative correlation"
"20667","PRNP","STARD4",-0.0758442442657613,0.0122141682553274,"Negative correlation"
"20668","PRNP","MEIG1",-0.0760091862231228,0.0120266612878122,"Negative correlation"
"20669","PRNP","LOC100289019",-0.0761155900433461,0.0119070571396905,"Negative correlation"
"20670","PRNP","RPL19",-0.0764733148929215,0.0115126395782098,"Negative correlation"
"20671","PRNP","FAM129B",-0.0766288289846095,0.0113448158632705,"Negative correlation"
"20672","PRNP","GYPC",-0.0767656855411491,0.0111989245325371,"Negative correlation"
"20673","PRNP","MLK7-AS1",-0.0768593765688861,0.011100010206218,"Negative correlation"
"20674","PRNP","HOXB7",-0.0769283748669576,0.0110276615674071,"Negative correlation"
"20675","PRNP","LOC643339",-0.0769539108986809,0.0110009918498757,"Negative correlation"
"20676","PRNP","ACP1",-0.0772151794791709,0.0107313949584853,"Negative correlation"
"20677","PRNP","POTEE",-0.0772484048122617,0.0106975343932435,"Negative correlation"
"20678","PRNP","SNORA27",-0.0773516071153207,0.0105929631639491,"Negative correlation"
"20679","PRNP","LOC375295",-0.0774738424336857,0.0104702817046244,"Negative correlation"
"20680","PRNP","CKS2",-0.0774824356534653,0.0104617048012182,"Negative correlation"
"20681","PRNP","MYCBPAP",-0.0775164716591428,0.0104277947151979,"Negative correlation"
"20682","PRNP","CETN2",-0.0775770190754659,0.010367712629703,"Negative correlation"
"20683","PRNP","GLIPR1L2",-0.0776716812941671,0.0102743942807337,"Negative correlation"
"20684","PRNP","KCNQ3",-0.0777763984829281,0.010172034127369,"Negative correlation"
"20685","PRNP","MIR25",-0.0778671991687031,0.0100840122286259,"Negative correlation"
"20686","PRNP","CBWD3",-0.0780073220432837,0.00994950642209019,"Negative correlation"
"20687","PRNP","NR4A2",-0.0780686453322239,0.00989114515281681,"Negative correlation"
"20688","PRNP","SFXN4",-0.0781457713639904,0.00981817697413049,"Negative correlation"
"20689","PRNP","NME5",-0.0781631163486065,0.00980183318021027,"Negative correlation"
"20690","PRNP","POLR2J",-0.0784139604826802,0.00956816056743309,"Negative correlation"
"20691","PRNP","LOC284801",-0.078546235463863,0.00944694894357664,"Negative correlation"
"20692","PRNP","JAM2",-0.0785557612871164,0.00943827287750928,"Negative correlation"
"20693","PRNP","RPL36A",-0.0786886649715248,0.00931796309651138,"Negative correlation"
"20694","PRNP","LRRIQ1",-0.0788264912007871,0.00919464235928815,"Negative correlation"
"20695","PRNP","RPS11",-0.0792142791935049,0.00885543516998469,"Negative correlation"
"20696","PRNP","CDR1",-0.0792737970486044,0.00880437367800619,"Negative correlation"
"20697","PRNP","NDUFAB1",-0.0798844145092814,0.00829549084151623,"Negative correlation"
"20698","PRNP","BACH1",-0.0802155949023615,0.00803062499926972,"Negative correlation"
"20699","PRNP","LSMD1",-0.0804952241031212,0.00781290309555072,"Negative correlation"
"20700","PRNP","MYZAP",-0.080930263951529,0.00748466557683734,"Negative correlation"
"20701","PRNP","PGAM1",-0.0810666882320165,0.00738430757564231,"Negative correlation"
"20702","PRNP","CA3",-0.0810683327793164,0.00738310518347788,"Negative correlation"
"20703","PRNP","RPS16",-0.0811419835442439,0.00732943574662974,"Negative correlation"
"20704","PRNP","NDUFS6",-0.0813084712492059,0.00720940194362247,"Negative correlation"
"20705","PRNP","RPS12",-0.0814069592018773,0.00713922666682771,"Negative correlation"
"20706","PRNP","RPP21",-0.0819552281190178,0.00675964705084989,"Negative correlation"
"20707","PRNP","DNAH7",-0.0819874107861969,0.00673793966729721,"Negative correlation"
"20708","PRNP","CXorf28",-0.0820508465111898,0.00669533505693915,"Negative correlation"
"20709","PRNP","RPL13",-0.0821746031953879,0.00661291324962447,"Negative correlation"
"20710","PRNP","HIST1H2BN",-0.0822307726042125,0.00657580599073733,"Negative correlation"
"20711","PRNP","RBP1",-0.0823324204652743,0.00650912935055832,"Negative correlation"
"20712","PRNP","GULP1",-0.0826009256544124,0.0063359126456394,"Negative correlation"
"20713","PRNP","CUTC",-0.0830008486375718,0.00608559144295947,"Negative correlation"
"20714","PRNP","KIF20B",-0.0831769565660059,0.00597821034306219,"Negative correlation"
"20715","PRNP","PTRH2",-0.0833518313408088,0.00587327126493483,"Negative correlation"
"20716","PRNP","DNAJC19",-0.0835046777880361,0.00578291211358737,"Negative correlation"
"20717","PRNP","HSPA4L",-0.0836121666782279,0.00572011897230668,"Negative correlation"
"20718","PRNP","LOC100302640",-0.083736725980103,0.00564812217123322,"Negative correlation"
"20719","PRNP","FABP5",-0.0837424860292365,0.0056448126273175,"Negative correlation"
"20720","PRNP","DOCK10",-0.0838821507522759,0.00556509850898625,"Negative correlation"
"20721","PRNP","PRIM1",-0.0839342049837857,0.00553564883283904,"Negative correlation"
"20722","PRNP","CD34",-0.0841210511720125,0.00543109391755086,"Negative correlation"
"20723","PRNP","USP15",-0.0842026032365507,0.00538601994224468,"Negative correlation"
"20724","PRNP","EXOSC1",-0.0842999903083886,0.00533263600614348,"Negative correlation"
"20725","PRNP","PRKG1",-0.0845093551400252,0.00521948247682468,"Negative correlation"
"20726","PRNP","RSRC2",-0.0846491594418699,0.00514513470384395,"Negative correlation"
"20727","PRNP","FRG1B",-0.0849555521154545,0.00498552773268595,"Negative correlation"
"20728","PRNP","ESCO1",-0.0855088128771378,0.0047086066143568,"Negative correlation"
"20729","PRNP","WASF3",-0.0855126823522133,0.00470671980935462,"Negative correlation"
"20730","PRNP","MKI67",-0.0855865875528506,0.0046708136462862,"Negative correlation"
"20731","PRNP","PSMA7",-0.0856080317211536,0.00466044164950812,"Negative correlation"
"20732","PRNP","PDLIM1",-0.0857903584889463,0.00457309259243698,"Negative correlation"
"20733","PRNP","NDUFB4",-0.0858134069543703,0.0045621566160688,"Negative correlation"
"20734","PRNP","FAM133B",-0.0859857104548938,0.00448114902798652,"Negative correlation"
"20735","PRNP","ZNF787",-0.0860825329590252,0.00443620174597982,"Negative correlation"
"20736","PRNP","TIMM8B",-0.0860914134153736,0.00443209972509659,"Negative correlation"
"20737","PRNP","C19orf70",-0.0864660481041735,0.00426214612565232,"Negative correlation"
"20738","PRNP","BLOC1S1",-0.086859019563758,0.00409023642190072,"Negative correlation"
"20739","PRNP","CA2",-0.0870298027035889,0.0040175040015257,"Negative correlation"
"20740","PRNP","NDUFB8",-0.0870734515804278,0.00399910410980985,"Negative correlation"
"20741","PRNP","TFAM",-0.0871172500309676,0.0039807179966027,"Negative correlation"
"20742","PRNP","HAUS1",-0.0871574237700342,0.00396392092858401,"Negative correlation"
"20743","PRNP","GNG11",-0.0873284728755001,0.00389312052695549,"Negative correlation"
"20744","PRNP","CMC2",-0.0875703750227335,0.0037949503410811,"Negative correlation"
"20745","PRNP","LINC00467",-0.0875963470324754,0.00378454489399542,"Negative correlation"
"20746","PRNP","TFDP2",-0.0876149478299235,0.00377710857514959,"Negative correlation"
"20747","PRNP","LOC100506385",-0.0878571596091664,0.00368147920851336,"Negative correlation"
"20748","PRNP","SNORD104",-0.0878723630389856,0.00367555059961899,"Negative correlation"
