"","x"
"572","GOLPH3"
"573","GDPD2"
"574","CHST7"
"575","NRBP1"
"576","DYNLT3"
"577","IGFBP3"
"578","RAB34"
"579","NPDC1"
"580","DNASE2"
"581","PSKH1"
"582","ERGIC1"
"583","DNAJA2"
"584","PLA2G16"
"585","MAEA"
"586","IDH3B"
"587","FASTK"
"588","ATP6V0A1"
"589","PNMA2"
"590","CAMK2D"
"591","FAM199X"
"592","SPTAN1"
"593","ZFP36"
"594","IP6K1"
"595","GAPVD1"
"596","PAMR1"
"597","ZDHHC7"
"598","MSN"
"599","ZFP36L2"
"600","NARS"
"601","FEM1A"
"602","HOMER3"
"603","GMPR2"
"604","ZNF444"
"605","TM9SF1"
"606","LAMTOR1"
"607","SNX17"
"608","HNMT"
"609","HPCAL4"
"610","PRPF6"
"611","TTC1"
"612","IL13RA1"
"613","FGFR1"
"614","STX12"
"615","ZDHHC9"
"616","CIZ1"
"617","RNF24"
"618","CASK"
"619","UBE2Q2"
"620","CRK"
"621","TMEM165"
"622","PSMD13"
"623","PSMD3"
"624","GSPT1"
"625","SALL1"
"626","TMEM9B"
"627","CBX5"
"628","RNF40"
"629","B3GALT6"
"630","CDC37"
"631","SRPX"
"632","AGPAT1"
"633","ACADVL"
"634","DGCR2"
"635","SUN1"
"636","ATP2A2"
"637","ADH5"
"638","HDHD2"
"639","FIS1"
"640","TAPBPL"
"641","ATP9A"
"642","HBEGF"
"643","STMN3"
"644","ABHD16A"
"645","RAB2A"
"646","TMEM129"
"647","FAM181A"
"648","PSMC4"
"649","ELOVL1"
"650","NAT14"
"651","BSCL2"
"652","TMEM80"
"653","RHOC"
"654","FAM69C"
"655","RAB4A"
"656","HADHB"
"657","ARMC6"
"658","SYS1"
"659","HSPB8"
"660","AHCYL1"
"661","CLCN3"
"662","HSPA5"
"663","RNF4"
"664","MAN1B1"
"665","FERMT2"
"666","AP1M1"
"667","FAM65A"
"668","PAF1"
"669","TSPYL4"
"670","PFKM"
"671","PTPN18"
"672","GALNT2"
"673","GPR37L1"
"674","PSMB9"
"675","LAPTM4B"
"676","PEA15"
"677","OAZ2"
"678","STIP1"
"679","MCFD2"
"680","B3GAT3"
"681","NEK6"
"682","PMVK"
"683","PREX1"
"684","SEC63"
"685","WASL"
"686","SLC6A11"
"687","SORBS1"
"688","NPEPL1"
"689","LITAF"
"690","EXT2"
"691","CYFIP1"
"692","PCDH1"
"693","TCTA"
"694","MT1E"
"695","CIRBP"
"696","DDX41"
"697","PXDC1"
"698","TM2D2"
"699","OXR1"
"700","GLUD1"
"701","ASNA1"
"702","SNTB2"
"703","GLT8D1"
"704","FKBP1A"
"705","ZNF706"
"706","SOCS3"
"707","ATG9A"
"708","PEX16"
"709","NTN1"
"710","CLTB"
"711","SLC25A11"
"712","GPR19"
"713","DCUN1D1"
"714","SLC16A1"
"715","ABCB7"
"716","RAB5A"
"717","PGRMC1"
"718","ADCK2"
"719","YWHAB"
"720","OLFM2"
"721","PTPN21"
"722","SORL1"
"723","SYT17"
"724","ELAC2"
"725","WNT7A"
"726","POMGNT1"
"727","KIAA0141"
"728","FAIM2"
"729","GDE1"
"730","FAM107A"
"731","OSBPL3"
"732","RIN1"
"733","CHST2"
"734","ARPP19"
"735","CASP1"
"736","CYR61"
"737","TIMP2"
"738","TEX261"
"739","SPHK2"
"740","POLD2"
"741","C1S"
"742","NRAS"
"743","TBRG4"
"744","CCT3"
"745","C19orf25"
"746","LYST"
"747","AP3D1"
"748","ATP1A1"
"749","NFKBIZ"
"750","EXD2"
"751","SYNDIG1"
"752","SPNS1"
"753","VPS39"
"754","RAD21"
"755","ALDOC"
"756","RND2"
"757","MAP1LC3A"
"758","HSPBP1"
"759","NARFL"
"760","PITPNA"
"761","KLF6"
"762","RAB21"
"763","PLA2G15"
"764","NOP56"
"765","RASSF2"
"766","FADS1"
"767","MTMR14"
"768","TMEM59"
"769","ERCC1"
"770","RIC8A"
"771","TMED7"
"772","YKT6"
"773","CTNNA1"
"774","PIP5K1A"
"775","MRPL18"
"776","GOLGA7"
"777","NUTF2"
"778","EIF1AX"
"779","LAMC1"
"780","NSFL1C"
"781","GRB10"
"782","IL17RC"
"783","TPD52"
"784","TMEM70"
"785","ST3GAL4"
"786","BCL2L1"
"787","DSTN"
"788","TINF2"
"789","HADHA"
"790","PRKD1"
"791","PNMAL1"
"792","TMEM120A"
"793","GLO1"
"794","APPBP2"
"795","TRIM47"
"796","EPB41L2"
"797","ANKMY2"
"798","PPP2R4"
"799","ARFRP1"
"800","GBA"
"801","PUM1"
"802","PSME3"
"803","JKAMP"
"804","UNC93B1"
"805","WDR1"
"806","VAMP5"
"807","FUS"
"808","C8orf33"
"809","FAM126A"
"810","DPF3"
"811","ID4"
"812","SFXN5"
"813","SLC4A4"
"814","PSEN1"
"815","LGALS3"
"816","ATAD3A"
"817","TUBB6"
"818","FBXO32"
"819","ALKBH5"
"820","STARD3NL"
"821","ITPKB"
"822","SYNCRIP"
"823","SLC39A7"
"824","SLC35C2"
"825","HEXA"
"826","SLC25A44"
"827","SYBU"
"828","VIM"
"829","ANXA6"
"830","PRDX6"
"831","CLIP2"
"832","RASD1"
"833","AGFG2"
"834","PNPLA8"
"835","STK38"
"836","BTBD3"
"837","FZD5"
"838","B4GALT5"
"839","FAM49B"
"840","CAPZA2"
"841","HDAC6"
"842","SNX27"
"843","NUCKS1"
"844","PUF60"
"845","ILK"
"846","PI4KB"
"847","SUGP2"
"848","EXOC7"
"849","DIRAS3"
"850","CSRP2"
"851","GARNL3"
"852","SAMD4A"
"853","TRAM1"
"854","TMEM115"
"855","GM2A"
"856","GRN"
"857","M6PR"
"858","SPRY2"
"859","ROGDI"
"860","YARS"
"861","PLEKHB2"
"862","C1orf216"
"863","HMOX2"
"864","FAM177A1"
"865","MAX"
"866","MRPL4"
"867","TPD52L2"
"868","ALDH7A1"
"869","MPZL1"
"870","PHLDB3"
"871","PDE4A"
"872","TUBA1C"
"873","MVP"
"874","GTF2I"
"875","NEK9"
"876","ELMO2"
"877","SPG7"
"878","LINC00094"
"879","ACTG1"
"880","INPP1"
"881","BMP7"
"882","FGD5-AS1"
"883","HIF1A"
"884","WDR6"
"885","NLGN1"
"886","AP2B1"
"887","CERS2"
"888","CD320"
"889","ERI1"
"890","C19orf66"
"891","SEPT7"
"892","PRMT5"
"893","OCIAD1"
"894","NAA50"
"895","AHCY"
"896","PPP2R2B"
"897","RPE"
"898","HDAC5"
"899","NCLN"
"900","UBTD1"
"901","CEP85L"
"902","SAV1"
"903","ASAP3"
"904","ITPK1"
