"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"MUL1","PRNP_positive_cells",0.018919901676321,0.336114082722359,0.317194181046038,4.10452385281599e-190,4.12997190070344e-186,"MUL1"
"PINK1","PRNP_positive_cells",0.0462575241479019,0.479788379310611,0.433530855162709,8.2089129574022e-225,8.25980821773809e-221,"PINK1"
"DDOST","PRNP_positive_cells",0.190572097491973,0.9435189988934,0.752946901401427,0,0,"DDOST"
"HP1BP3","PRNP_negative_cells",0.321709441681045,1.34932693240872,1.02761749072767,2.55521364248683e-78,2.57105596707025e-74,"HP1BP3"
"EIF4G3","PRNP_negative_cells",0.23305412864668,0.647679131679226,0.414625003032547,3.31089824045969e-90,3.33142580955054e-86,"EIF4G3"
"ECE1","PRNP_negative_cells",0.244337834050447,0.454555745180174,0.210217911129727,3.41037411794057e-27,3.43151843747181e-23,"ECE1"
"RAP1GAP","PRNP_positive_cells",0.0448381726618017,0.198085660280398,0.153247487618596,4.07574764636411e-124,4.10101728177156e-120,"RAP1GAP"
"USP48","PRNP_negative_cells",0.0384690586102839,0.500755760661177,0.462286702050893,3.4066604797002e-184,3.42778177467435e-180,"USP48"
"LINC00339","PRNP_negative_cells",0.0254476507362601,0.133667528307918,0.108219877571658,1.17595138940215e-47,1.18324228801645e-43,"LINC00339"
"CDC42","PRNP_negative_cells",0.0312545167663494,1.72112474082581,1.68987022405946,1.93703664379167e-134,1.94904627098318e-130,"CDC42"
"C1QA","PRNP_negative_cells",0.40319639003954,0.816414405594013,0.413218015554473,7.87213456267827e-28,7.92094179696687e-24,"C1QA"
"C1QC","PRNP_negative_cells",0.287127749372263,0.551566182738953,0.26443843336669,2.14506878465354e-10,2.1583682111184e-06,"C1QC"
"C1QB","PRNP_negative_cells",0.454211750290836,1.02470334534832,0.570491595057485,7.71581056392607e-28,7.76364858942241e-24,"C1QB"
"KDM1A","PRNP_negative_cells",0.0975804240066216,0.281886251085404,0.184305827078782,2.02186696787292e-78,2.03440254307373e-74,"KDM1A"
"LUZP1","PRNP_positive_cells",9.25155627142793e-05,0.352870432784837,0.352777917222123,7.66760197247841e-162,7.71514110470777e-158,"LUZP1"
"HNRNPR","PRNP_negative_cells",0.235527559556608,1.5563936537328,1.32086609417619,5.49415301231429e-112,5.52821676099064e-108,"HNRNPR"
"ZNF436","PRNP_negative_cells",0.00989238536157894,0.174336227663097,0.164443842301518,2.11847093921357e-94,2.1316054590367e-90,"ZNF436"
"ZNF436-AS1","PRNP_negative_cells",0.109107814783815,0.456588245889295,0.34748043110548,2.08460639538435e-103,2.09753095503574e-99,"ZNF436-AS1"
"TCEA3","PRNP_positive_cells",0.114439461676371,0.324461786477836,0.210022324801465,9.44963121015502e-225,9.50821892365798e-221,"TCEA3"
"ASAP3","PRNP_negative_cells",0.0281994427886378,0.126751073026692,0.0985516302380547,1.6168491972138e-57,1.62687366223653e-53,"ASAP3"
"ID3","PRNP_positive_cells",0.433330185655657,3.10044069144249,2.66711050578684,3.07996238932665e-143,3.09905815614047e-139,"ID3"
"RPL11","PRNP_positive_cells",0.400271124750707,4.22917584500341,3.8289047202527,2.14997312061587e-242,2.16330295396369e-238,"RPL11"
"TCEB3","PRNP_negative_cells",0.0965290470568368,0.368411377841996,0.27188233078516,2.09469148394657e-88,2.10767857114704e-84,"TCEB3"
"TCEB3-AS1","PRNP_negative_cells",0.0204322154915704,0.142306021991118,0.121873806499548,8.1976375519857e-61,8.24846290480802e-57,"TCEB3-AS1"
"PITHD1","PRNP_positive_cells",0.0132955460362821,0.862599592474184,0.849304046437902,1.17990284981895e-255,1.18721824748782e-251,"PITHD1"
"LYPLA2","PRNP_negative_cells",0.100865997264052,0.547945282825066,0.447079285561014,9.15448645794807e-166,9.21124427398734e-162,"LYPLA2"
"GALE","PRNP_positive_cells",0.0232017150673705,0.200495088955915,0.177293373888544,9.18642127760719e-128,9.24337708952836e-124,"GALE"
"HMGCL","PRNP_positive_cells",0.0784306214064363,0.438410285647323,0.359979664240887,1.89010772392713e-233,1.90182639181548e-229,"HMGCL"
"FUCA1","PRNP_positive_cells",0.0835887889205392,0.282314460871159,0.19872567195062,4.32832423639525e-207,4.3551598466609e-203,"FUCA1"
"PNRC2","PRNP_positive_cells",0.0758717738846204,0.717944242147729,0.642072468263108,1.70438810590349e-251,1.71495531216009e-247,"PNRC2"
"SRSF10","PRNP_negative_cells",0.285847016297738,1.62674003652626,1.34089302022852,2.92114991384834e-89,2.9392610433142e-85,"SRSF10"
"STPG1","PRNP_positive_cells",0.0552505218385259,0.288227528183936,0.23297700634541,1.3101267211261e-185,1.31824950679709e-181,"STPG1"
"NIPAL3","PRNP_positive_cells",0.0337254494813367,0.211902989027697,0.178177539546361,4.19999918126915e-155,4.22603917619302e-151,"NIPAL3"
"RCAN3","PRNP_positive_cells",0.0816839315531875,0.21361273096069,0.131928799407502,4.98993041961895e-171,5.02086798822059e-167,"RCAN3"
"SRRM1","PRNP_negative_cells",0.138178261516421,1.36344589883934,1.22526763732292,6.78475423285075e-130,6.82681970909442e-126,"SRRM1"
"CLIC4","PRNP_negative_cells",0.165728830122967,1.14867091852557,0.982942088402603,1.00883586575306e-148,1.01509064812073e-144,"CLIC4"
"SYF2","PRNP_positive_cells",0.00600505084970626,1.11010865220847,1.10410360135876,2.40088441773128e-209,2.41576990112121e-205,"SYF2"
"RSRP1","PRNP_positive_cells",0.0285952766067146,1.19842949273908,1.16983421613236,4.80926961038589e-212,4.83908708197028e-208,"RSRP1"
"TMEM50A","PRNP_positive_cells",0.158026783921984,1.17483744730737,1.01681066338539,2.93998233872873e-303,2.95821022922885e-299,"TMEM50A"
"TMEM57","PRNP_negative_cells",0.00550742960898878,0.204790503861741,0.199283074252752,4.45112826165188e-108,4.47872525687412e-104,"TMEM57"
"MAN1C1","PRNP_positive_cells",0.175951720766668,0.552788047660299,0.376836326893632,7.07562171661349e-229,7.1194905712565e-225,"MAN1C1"
"RP1-187B23.1","PRNP_negative_cells",0.149877687002982,0.399152378658743,0.249274691655762,1.57831211815351e-63,1.58809765328606e-59,"RP1-187B23.1"
"SEPN1","PRNP_negative_cells",0.141273419490727,0.708151925434654,0.566878505943927,3.42958026299432e-165,3.45084366062488e-161,"SEPN1"
"MTFR1L","PRNP_positive_cells",0.0384045656577918,0.573782396958956,0.535377831301164,2.45665570699278e-253,2.47188697237613e-249,"MTFR1L"
"STMN1","PRNP_negative_cells",0.507277051102954,2.540328221693,2.03305117059005,2.14160839290839e-24,2.15488636494442e-20,"STMN1"
"PAFAH2","PRNP_positive_cells",0.000180735109796437,0.127936917619249,0.127756182509452,7.14795163258743e-85,7.19226893270947e-81,"PAFAH2"
"ZNF593","PRNP_positive_cells",0.123180666509359,0.782137012880819,0.65895634637146,8.92897891583394e-283,8.98433858511211e-279,"ZNF593"
"SH3BGRL3","PRNP_positive_cells",0.210599727987904,2.06615727793729,1.85555754994939,9.32702993214364e-198,9.38485751772293e-194,"SH3BGRL3"
"UBXN11","PRNP_positive_cells",0.181269824691983,0.701884181070603,0.52061435637862,0,0,"UBXN11"
"DHDDS","PRNP_negative_cells",0.049320858335591,0.267543094079621,0.21822223574403,9.02791326305012e-100,9.08388632528103e-96,"DHDDS"
"HMGN2","PRNP_positive_cells",0.101246571082779,2.48300136804403,2.38175479696125,7.24130569007544e-125,7.28620178535391e-121,"HMGN2"
"ARID1A","PRNP_negative_cells",0.0846330390741443,0.640639234964618,0.556006195890474,4.75140209375209e-181,4.78086078673335e-177,"ARID1A"
"GPN2","PRNP_negative_cells",0.0509521070581227,0.247551110902362,0.19659900384424,1.74345060606424e-89,1.75425999982184e-85,"GPN2"
"GPATCH3","PRNP_negative_cells",0.000910186078977887,0.12968599357824,0.128775807499262,1.35643259316267e-96,1.36484247524027e-92,"GPATCH3"
"NUDC","PRNP_positive_cells",0.102305652726336,1.71940547466927,1.61709982194293,4.025531017287e-200,4.05048930959418e-196,"NUDC"
"WDTC1","PRNP_negative_cells",0.0654300153682118,0.196345047467422,0.130915032099211,1.21499275206976e-46,1.2225257071326e-42,"WDTC1"
"TMEM222","PRNP_positive_cells",0.035639250053494,0.556485244544194,0.5208459944907,1.58982782213057e-247,1.59968475462778e-243,"TMEM222"
"MAP3K6","PRNP_positive_cells",0.00781079366734443,0.107090560483494,0.09927976681615,1.71629562171696e-66,1.7269366545716e-62,"MAP3K6"
"WASF2","PRNP_negative_cells",0.181066837220918,0.862651063204657,0.681584225983739,8.10031872112322e-139,8.15054069719418e-135,"WASF2"
"AHDC1","PRNP_negative_cells",0.325024649651055,0.635582320210921,0.310557670559865,3.38793122191738e-35,3.40893639549327e-31,"AHDC1"
"IFI6","PRNP_negative_cells",0.663302912066088,1.93764918648217,1.27434627441608,3.0840349077775e-32,3.10315592420572e-28,"IFI6"
"FAM76A","PRNP_negative_cells",0.157848747271884,0.415594127996388,0.257745380724503,7.79157869651154e-55,7.83988648442991e-51,"FAM76A"
"STX12","PRNP_negative_cells",0.17100730109901,0.712481836702342,0.541474535603332,1.39335191250375e-155,1.40199069436127e-151,"STX12"
"PPP1R8","PRNP_negative_cells",0.063616928731851,0.337537250842536,0.273920322110685,1.17959878280216e-104,1.18691229525553e-100,"PPP1R8"
"RPA2","PRNP_negative_cells",0.175563893393027,0.63900097978656,0.463437086393533,2.21351597092423e-127,2.22723976994396e-123,"RPA2"
"XKR8","PRNP_positive_cells",0.00420438789465397,0.110013791999662,0.105809404105008,1.57508440624285e-75,1.58484992956155e-71,"XKR8"
"EYA3","PRNP_negative_cells",0.0602081968998371,0.166353795962216,0.106145599062379,1.19277328998746e-43,1.20016848438538e-39,"EYA3"
"DNAJC8","PRNP_negative_cells",0.283253482637936,1.1881968719427,0.904943389304765,2.30307354823709e-114,2.31735260423616e-110,"DNAJC8"
"ATPIF1","PRNP_negative_cells",0.113763368639524,1.43872469060287,1.32496132196334,1.95953926553053e-159,1.97168840897682e-155,"ATPIF1"
"SESN2","PRNP_negative_cells",0.13249125220929,0.330174720040774,0.197683467831484,3.55558093704733e-52,3.57762553885703e-48,"SESN2"
"PHACTR4","PRNP_negative_cells",0.132461850625422,0.385519921386383,0.25305807076096,2.79455740732983e-54,2.81188366325528e-50,"PHACTR4"
