"","correlation","pvalue","tumor","stage","process"
"copi coated vesicle313","0.7","0.0357695749702618","ACC","I","copi coated vesicle"
"vesicle tethering313","0.433333333333333","0.243952435880052","ACC","I","vesicle tethering"
"intercellular transport313","-0.583333333333333","0.0991858164798831","ACC","I","intercellular transport"
"regulation of vesicle fusion313","0.25","0.516489552301226","ACC","I","regulation of vesicle fusion"
"coated vesicle60","0.281922038792292","0.000131687908112355","PCPG",NA,"coated vesicle"
"endocytic vesicle60","0.112700604691064","0.13308229199841","PCPG",NA,"endocytic vesicle"
"phagocytic vesicle60","0.171405854413826","0.0217793856761026","PCPG",NA,"phagocytic vesicle"
"secretory vesicle60","0.159912539493231","0.032494427214069","PCPG",NA,"secretory vesicle"
"vesicle cytoskeletal trafficking60","0.398223589228548","3.37840462272254e-08","PCPG",NA,"vesicle cytoskeletal trafficking"
"exocytosis60","0.401251229259515","2.59955132975165e-08","PCPG",NA,"exocytosis"
"endocytosis60","0.194271127570983","0.00916502954361453","PCPG",NA,"endocytosis"
"secretion60","0.234641056221622","0.00156933462526743","PCPG",NA,"secretion"
"intracellular transport60","0.312390935911117","2.06946331413604e-05","PCPG",NA,"intracellular transport"
"intracellular protein transport60","0.301171719707907","4.19080435474228e-05","PCPG",NA,"intracellular protein transport"
"transport along microtubule60","0.405477789634465","1.79516645992805e-08","PCPG",NA,"transport along microtubule"
"vesicle lumen60","0.0371435147406524","0.62156379501231","PCPG",NA,"vesicle lumen"
"vesicle membrane60","0.238534931893792","0.00130186957431366","PCPG",NA,"vesicle membrane"
"vesicle organization60","0.283051911367774","0.000123405719936631","PCPG",NA,"vesicle organization"
"vesicle targeting60","0.221199757286632","0.00292351158360882","PCPG",NA,"vesicle targeting"
"vesicle docking60","0.348551043039776","1.74055175650167e-06","PCPG",NA,"vesicle docking"
"clathrin coated vesicle60","0.248053062163915","0.000814104251467773","PCPG",NA,"clathrin coated vesicle"
"copi coated vesicle60","0.0969932835352458","0.196482524015078","PCPG",NA,"copi coated vesicle"
"vesicle tethering60","0.150720816856025","0.0440201057654503","PCPG",NA,"vesicle tethering"
"intercellular transport60","0.0750277237252317","0.318193153927294","PCPG",NA,"intercellular transport"
"regulation of vesicle fusion60","0.293302366455339","6.75885625198713e-05","PCPG",NA,"regulation of vesicle fusion"
"coated vesicle67","0.454545454545455","0.13765791634773","SKCM","IIIC","coated vesicle"
"endocytic vesicle67","0.104895104895105","0.745609480980708","SKCM","IIIC","endocytic vesicle"
"phagocytic vesicle67","-0.0629370629370629","0.845930921228779","SKCM","IIIC","phagocytic vesicle"
"secretory vesicle67","0.195804195804196","0.541935885731317","SKCM","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking67","0.181818181818182","0.571701238527655","SKCM","IIIC","vesicle cytoskeletal trafficking"
"exocytosis67","0.174825174825175","0.586823664362705","SKCM","IIIC","exocytosis"
"endocytosis67","0.181818181818182","0.571701238527655","SKCM","IIIC","endocytosis"
"secretion67","0.272727272727273","0.391096770941896","SKCM","IIIC","secretion"
"intracellular transport67","0.587412587412587","0.0446092964633631","SKCM","IIIC","intracellular transport"
"intracellular protein transport67","0.636363636363636","0.0260968910527031","SKCM","IIIC","intracellular protein transport"
"transport along microtubule67","0.601398601398601","0.0385884529220193","SKCM","IIIC","transport along microtubule"
"vesicle lumen67","0.160839160839161","0.617523489540142","SKCM","IIIC","vesicle lumen"
"vesicle membrane67","0.223776223776224","0.484451661455399","SKCM","IIIC","vesicle membrane"
"vesicle organization67","0.573426573426573","0.0512655897864915","SKCM","IIIC","vesicle organization"
"vesicle targeting67","0.657342657342657","0.020185498509854","SKCM","IIIC","vesicle targeting"
"vesicle docking67","0.363636363636364","0.245265000730777","SKCM","IIIC","vesicle docking"
"clathrin coated vesicle67","0.167832167832168","0.602099427786538","SKCM","IIIC","clathrin coated vesicle"
"copi coated vesicle67","0.335664335664336","0.286122902914987","SKCM","IIIC","copi coated vesicle"
"vesicle tethering67","0.370629370629371","0.235621003512646","SKCM","IIIC","vesicle tethering"
"intercellular transport67","-0.020979020979021","0.948402225236522","SKCM","IIIC","intercellular transport"
"regulation of vesicle fusion67","-0.125874125874126","0.696683109395766","SKCM","IIIC","regulation of vesicle fusion"
"coated vesicle121","0.0293877551020408","0.84113105951612","SKCM","IIC","coated vesicle"
"endocytic vesicle121","0.136836734693878","0.348475747634384","SKCM","IIC","endocytic vesicle"
"phagocytic vesicle121","0.203979591836735","0.159775542814732","SKCM","IIC","phagocytic vesicle"
"secretory vesicle121","0.031530612244898","0.829712830127175","SKCM","IIC","secretory vesicle"
"vesicle cytoskeletal trafficking121","0.0820408163265306","0.575202214242534","SKCM","IIC","vesicle cytoskeletal trafficking"
"exocytosis121","0.0696938775510204","0.634186736803262","SKCM","IIC","exocytosis"
"endocytosis121","0.126428571428571","0.386690667847063","SKCM","IIC","endocytosis"
"secretion121","0.0452040816326531","0.757764607248125","SKCM","IIC","secretion"
"intracellular transport121","0.164285714285714","0.25932109613058","SKCM","IIC","intracellular transport"
"intracellular protein transport121","0.149183673469388","0.306276473784184","SKCM","IIC","intracellular protein transport"
"transport along microtubule121","0.275102040816327","0.0557358244342385","SKCM","IIC","transport along microtubule"
"vesicle lumen121","0.0570408163265306","0.697057730777334","SKCM","IIC","vesicle lumen"
"vesicle membrane121","0.0736734693877551","0.614904114057166","SKCM","IIC","vesicle membrane"
"vesicle organization121","0.107959183673469","0.460291199228725","SKCM","IIC","vesicle organization"
"vesicle targeting121","0.23530612244898","0.103617089164885","SKCM","IIC","vesicle targeting"
"vesicle docking121","0.0957142857142857","0.512977600871038","SKCM","IIC","vesicle docking"
"clathrin coated vesicle121","-0.120714285714286","0.408682902270287","SKCM","IIC","clathrin coated vesicle"
"copi coated vesicle121","0.0427551020408163","0.770521389524675","SKCM","IIC","copi coated vesicle"
"vesicle tethering121","0.36030612244898","0.0109879058292162","SKCM","IIC","vesicle tethering"
"intercellular transport121","0.109489795918367","0.453918188544288","SKCM","IIC","intercellular transport"
"regulation of vesicle fusion121","-0.21030612244898","0.146942413768413","SKCM","IIC","regulation of vesicle fusion"
"coated vesicle216","0.0629370629370629","0.845930921228779","SKCM","IIIB","coated vesicle"
"endocytic vesicle216","0.027972027972028","0.931234351201881","SKCM","IIIB","endocytic vesicle"
"phagocytic vesicle216","0.0979020979020979","0.762121655996299","SKCM","IIIB","phagocytic vesicle"
"secretory vesicle216","-0.174825174825175","0.586823664362705","SKCM","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking216","0.202797202797203","0.527302354166108","SKCM","IIIB","vesicle cytoskeletal trafficking"
"exocytosis216","0.0769230769230769","0.812182698028059","SKCM","IIIB","exocytosis"
"endocytosis216","0.0559440559440559","0.862898073694971","SKCM","IIIB","endocytosis"
"secretion216","-0.013986013986014","0.965590268918779","SKCM","IIIB","secretion"
"intracellular transport216","0.426573426573427","0.166699987624945","SKCM","IIIB","intracellular transport"
"intracellular protein transport216","0.356643356643357","0.255137751758957","SKCM","IIIB","intracellular protein transport"
"transport along microtubule216","0.405594405594406","0.1908358740045","SKCM","IIIB","transport along microtubule"
"vesicle lumen216","-0.146853146853147","0.648795709784666","SKCM","IIIB","vesicle lumen"
"vesicle membrane216","0.048951048951049","0.879918578878675","SKCM","IIIB","vesicle membrane"
"vesicle organization216","0.405594405594406","0.1908358740045","SKCM","IIIB","vesicle organization"
"vesicle targeting216","0.370629370629371","0.235621003512646","SKCM","IIIB","vesicle targeting"
"vesicle docking216","0.335664335664336","0.286122902914987","SKCM","IIIB","vesicle docking"
"clathrin coated vesicle216","-0.118881118881119","0.712884219214772","SKCM","IIIB","clathrin coated vesicle"
"copi coated vesicle216","-0.181818181818182","0.571701238527655","SKCM","IIIB","copi coated vesicle"
"vesicle tethering216","0.804195804195804","0.00161476898606994","SKCM","IIIB","vesicle tethering"
"intercellular transport216","0.181818181818182","0.571701238527655","SKCM","IIIB","intercellular transport"
"regulation of vesicle fusion216","-0.195804195804196","0.541935885731317","SKCM","IIIB","regulation of vesicle fusion"
"coated vesicle314","0.683333333333333","0.0424422720870723","SKCM","IIB","coated vesicle"
"endocytic vesicle314","0.533333333333333","0.139226867543978","SKCM","IIB","endocytic vesicle"
"phagocytic vesicle314","0","1","SKCM","IIB","phagocytic vesicle"
"secretory vesicle314","0.0666666666666667","0.864689784626204","SKCM","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking314","0.0333333333333333","0.932156735540504","SKCM","IIB","vesicle cytoskeletal trafficking"
"exocytosis314","0.0833333333333333","0.831214097710308","SKCM","IIB","exocytosis"
"endocytosis314","0.566666666666667","0.111632987611491","SKCM","IIB","endocytosis"
"secretion314","0.483333333333333","0.187469855215542","SKCM","IIB","secretion"
"intracellular transport314","0.266666666666667","0.487922274838701","SKCM","IIB","intracellular transport"
"intracellular protein transport314","0.266666666666667","0.487922274838701","SKCM","IIB","intracellular protein transport"
"transport along microtubule314","0.1","0.797971695234851","SKCM","IIB","transport along microtubule"
"vesicle lumen314","0.2","0.605901274179553","SKCM","IIB","vesicle lumen"
"vesicle membrane314","0.366666666666667","0.331739801433015","SKCM","IIB","vesicle membrane"
"vesicle organization314","0.133333333333333","0.732367505236297","SKCM","IIB","vesicle organization"
"vesicle targeting314","0.2","0.605901274179553","SKCM","IIB","vesicle targeting"
"vesicle docking314","0.25","0.516489552301226","SKCM","IIB","vesicle docking"
"clathrin coated vesicle314","0.7","0.0357695749702618","SKCM","IIB","clathrin coated vesicle"
"copi coated vesicle314","0.366666666666667","0.331739801433015","SKCM","IIB","copi coated vesicle"
"vesicle tethering314","0.1","0.797971695234851","SKCM","IIB","vesicle tethering"
"intercellular transport314","0.783333333333333","0.0125198730194498","SKCM","IIB","intercellular transport"
"regulation of vesicle fusion314","-0.466666666666667","0.205386351105812","SKCM","IIB","regulation of vesicle fusion"
"coated vesicle68","0.662682489541535","8.71128489343675e-08","THCA","II","coated vesicle"
"endocytic vesicle68","0.657218475198497","1.20813918425e-07","THCA","II","endocytic vesicle"
"phagocytic vesicle68","0.683087168103816","2.41478534945827e-08","THCA","II","phagocytic vesicle"
"secretory vesicle68","0.556048834628191","1.87106879363519e-05","THCA","II","secretory vesicle"
"vesicle cytoskeletal trafficking68","0.691283189618373","1.40067402121247e-08","THCA","II","vesicle cytoskeletal trafficking"
"exocytosis68","0.635789293946897","4.09642422427581e-07","THCA","II","exocytosis"
"endocytosis68","0.678476906001878","3.25556137603655e-08","THCA","II","endocytosis"
"secretion68","0.598138820114403","2.83028065517499e-06","THCA","II","secretion"
"intracellular transport68","0.550328694612823","2.37203622690529e-05","THCA","II","intracellular transport"
"intracellular protein transport68","0.542815674891147","3.21818684188013e-05","THCA","II","intracellular protein transport"
"transport along microtubule68","0.647571074874072","2.11828142804293e-07","THCA","II","transport along microtubule"
"vesicle lumen68","0.545547682062665","2.88270521195955e-05","THCA","II","vesicle lumen"
"vesicle membrane68","0.691368564842483","1.39261937537327e-08","THCA","II","vesicle membrane"
"vesicle organization68","0.598309570562623","2.80713166267432e-06","THCA","II","vesicle organization"
"vesicle targeting68","0.341074020319303","0.0133451053168794","THCA","II","vesicle targeting"
"vesicle docking68","0.638265175446086","3.57453928678808e-07","THCA","II","vesicle docking"
"clathrin coated vesicle68","0.67403739434816","4.31911462150936e-08","THCA","II","clathrin coated vesicle"
"copi coated vesicle68","0.112695295825152","0.426356923993855","THCA","II","copi coated vesicle"
"vesicle tethering68","0.41868009903526","0.00200819900910809","THCA","II","vesicle tethering"
"intercellular transport68","0.440109280286861","0.00109503507135633","THCA","II","intercellular transport"
"regulation of vesicle fusion68","0.433706138478614","0.00131802399657888","THCA","II","regulation of vesicle fusion"
"coated vesicle122","0.336147086031452","0.0208811334682415","THCA","IVA","coated vesicle"
"endocytic vesicle122","0.194842738205365","0.189376892664831","THCA","IVA","endocytic vesicle"
"phagocytic vesicle122","0.255897317298797","0.0825389330571862","THCA","IVA","phagocytic vesicle"
"secretory vesicle122","-0.00682238667900092","0.963698443292103","THCA","IVA","secretory vesicle"
"vesicle cytoskeletal trafficking122","0.498612395929695","0.000361009476914198","THCA","IVA","vesicle cytoskeletal trafficking"
"exocytosis122","0.241327474560592","0.102224991238792","THCA","IVA","exocytosis"
"endocytosis122","0.102220166512488","0.49415835984347","THCA","IVA","endocytosis"
"secretion122","0.014222941720629","0.924404855003703","THCA","IVA","secretion"
"intracellular transport122","0.430851063829787","0.00250063709492476","THCA","IVA","intracellular transport"
"intracellular protein transport122","0.421484736355227","0.00317194442589885","THCA","IVA","intracellular protein transport"
"transport along microtubule122","0.483580018501388","0.00057430512559975","THCA","IVA","transport along microtubule"
"vesicle lumen122","-0.106614246068455","0.475681429389126","THCA","IVA","vesicle lumen"
"vesicle membrane122","0.295328399629972","0.0438680016448085","THCA","IVA","vesicle membrane"
"vesicle organization122","0.464847363552266","0.000995039097877903","THCA","IVA","vesicle organization"
"vesicle targeting122","0.467506938020352","0.000922082181064043","THCA","IVA","vesicle targeting"
"vesicle docking122","0.343200740055504","0.0181894401025549","THCA","IVA","vesicle docking"
"clathrin coated vesicle122","0.265032377428307","0.0717988190642118","THCA","IVA","clathrin coated vesicle"
"copi coated vesicle122","0.223057354301573","0.131788542961083","THCA","IVA","copi coated vesicle"
"vesicle tethering122","0.500115633672525","0.000344224619671873","THCA","IVA","vesicle tethering"
"intercellular transport122","-0.0382747456059204","0.798393923711297","THCA","IVA","intercellular transport"
"regulation of vesicle fusion122","0.05527289546716","0.712119931695997","THCA","IVA","regulation of vesicle fusion"
"coated vesicle217","0.456691837222811","4.16623570753671e-07","THCA","III","coated vesicle"
"endocytic vesicle217","0.420798168585779","3.84268165487534e-06","THCA","III","endocytic vesicle"
"phagocytic vesicle217","0.453830252502819","5.02086805687085e-07","THCA","III","phagocytic vesicle"
"secretory vesicle217","0.322778214371135","0.000518462068689551","THCA","III","secretory vesicle"
"vesicle cytoskeletal trafficking217","0.580935866334096","1.88160598213472e-11","THCA","III","vesicle cytoskeletal trafficking"
"exocytosis217","0.459220282229132","3.52798123159914e-07","THCA","III","exocytosis"
"endocytosis217","0.384460313663853","2.85008526259567e-05","THCA","III","endocytosis"
"secretion217","0.384998462432091","2.77140936937315e-05","THCA","III","secretion"
"intracellular transport217","0.538772337444904","8.9077012432881e-10","THCA","III","intracellular transport"
"intracellular protein transport217","0.523524789011515","3.16611581396842e-09","THCA","III","intracellular protein transport"
"transport along microtubule217","0.596875320326648","3.77298192688613e-12","THCA","III","transport along microtubule"
"vesicle lumen217","0.225441623671712","0.0168512703117414","THCA","III","vesicle lumen"
"vesicle membrane217","0.500264803362149","1.95007237024925e-08","THCA","III","vesicle membrane"
"vesicle organization217","0.603435610072778","1.89759319368932e-12","THCA","III","vesicle organization"
"vesicle targeting217","0.377353333105545","4.10610028938052e-05","THCA","III","vesicle targeting"
"vesicle docking217","0.5124713841528","7.64011498510797e-09","THCA","III","vesicle docking"
"clathrin coated vesicle217","0.466293094611679","2.19988009808603e-07","THCA","III","clathrin coated vesicle"
"copi coated vesicle217","0.104281272422865","0.273860735876256","THCA","III","copi coated vesicle"
"vesicle tethering217","0.519185430689855","4.49106440925107e-09","THCA","III","vesicle tethering"
"intercellular transport217","0.281306591041104","0.00265938128323029","THCA","III","intercellular transport"
"regulation of vesicle fusion217","0.404021594287081","9.97846785444345e-06","THCA","III","regulation of vesicle fusion"
"coated vesicle315","0.560310346363096","0","THCA","I","coated vesicle"
"endocytic vesicle315","0.464323003297823","0","THCA","I","endocytic vesicle"
"phagocytic vesicle315","0.434331935447537","1.68753899743024e-14","THCA","I","phagocytic vesicle"
"secretory vesicle315","0.367722720926638","1.6044232609147e-10","THCA","I","secretory vesicle"
"vesicle cytoskeletal trafficking315","0.616460825582096","0","THCA","I","vesicle cytoskeletal trafficking"
"exocytosis315","0.487635128232665","0","THCA","I","exocytosis"
"endocytosis315","0.444463245906535","3.5527136788005e-15","THCA","I","endocytosis"
"secretion315","0.402448613945155","1.75437442351267e-12","THCA","I","secretion"
"intracellular transport315","0.577456930536165","0","THCA","I","intracellular transport"
"intracellular protein transport315","0.575599252947478","0","THCA","I","intracellular protein transport"
"transport along microtubule315","0.611778388388729","0","THCA","I","transport along microtubule"
"vesicle lumen315","0.290983767585988","6.02159184515116e-07","THCA","I","vesicle lumen"
"vesicle membrane315","0.53181285967619","0","THCA","I","vesicle membrane"
"vesicle organization315","0.585736849963459","0","THCA","I","vesicle organization"
"vesicle targeting315","0.437147789096491","1.11022302462516e-14","THCA","I","vesicle targeting"
"vesicle docking315","0.4856150479219","0","THCA","I","vesicle docking"
"clathrin coated vesicle315","0.558011562026053","0","THCA","I","clathrin coated vesicle"
"copi coated vesicle315","0.284066983264661","1.13481152164141e-06","THCA","I","copi coated vesicle"
"vesicle tethering315","0.53428661984928","0","THCA","I","vesicle tethering"
"intercellular transport315","0.320580353985546","3.29115246167078e-08","THCA","I","intercellular transport"
"regulation of vesicle fusion315","0.330106583334861","1.20462990693682e-08","THCA","I","regulation of vesicle fusion"
"coated vesicle411","0.714285714285714","0.110787172011662","THCA","IVC","coated vesicle"
"endocytic vesicle411","0.771428571428571","0.0723965014577259","THCA","IVC","endocytic vesicle"
"phagocytic vesicle411","0.714285714285714","0.110787172011662","THCA","IVC","phagocytic vesicle"
"secretory vesicle411","0.657142857142857","0.156174927113703","THCA","IVC","secretory vesicle"
"vesicle cytoskeletal trafficking411","0.6","0.208","THCA","IVC","vesicle cytoskeletal trafficking"
"exocytosis411","0.657142857142857","0.156174927113703","THCA","IVC","exocytosis"
"endocytosis411","0.657142857142857","0.156174927113703","THCA","IVC","endocytosis"
"secretion411","0.771428571428571","0.0723965014577259","THCA","IVC","secretion"
"intracellular transport411","0.885714285714286","0.0188454810495626","THCA","IVC","intracellular transport"
"intracellular protein transport411","0.885714285714286","0.0188454810495626","THCA","IVC","intracellular protein transport"
"transport along microtubule411","0.6","0.208","THCA","IVC","transport along microtubule"
"vesicle lumen411","0.657142857142857","0.156174927113703","THCA","IVC","vesicle lumen"
"vesicle membrane411","0.885714285714286","0.0188454810495626","THCA","IVC","vesicle membrane"
"vesicle organization411","0.885714285714286","0.0188454810495626","THCA","IVC","vesicle organization"
"vesicle targeting411","0.657142857142857","0.156174927113703","THCA","IVC","vesicle targeting"
"vesicle docking411","0.828571428571429","0.0415626822157433","THCA","IVC","vesicle docking"
"clathrin coated vesicle411","0.6","0.208","THCA","IVC","clathrin coated vesicle"
"copi coated vesicle411","0.2","0.704","THCA","IVC","copi coated vesicle"
"vesicle tethering411","0.885714285714286","0.0188454810495626","THCA","IVC","vesicle tethering"
"intercellular transport411","0.771428571428571","0.0723965014577259","THCA","IVC","intercellular transport"
"regulation of vesicle fusion411","0.6","0.208","THCA","IVC","regulation of vesicle fusion"
"coated vesicle69","0.255003646381979","0.103141614363094","CESC","IIIB","coated vesicle"
"endocytic vesicle69","0.222915484968803","0.155903044575131","CESC","IIIB","endocytic vesicle"
"phagocytic vesicle69","0.187099910866218","0.235438557872354","CESC","IIIB","phagocytic vesicle"
"secretory vesicle69","0.270561542824731","0.0830939185312358","CESC","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking69","0.155984117980715","0.323917051423327","CESC","IIIB","vesicle cytoskeletal trafficking"
"exocytosis69","0.235718337249818","0.13289204703959","CESC","IIIB","exocytosis"
"endocytosis69","0.212057369743133","0.177592146087899","CESC","IIIB","endocytosis"
"secretion69","0.252086540798963","0.107281082930688","CESC","IIIB","secretion"
"intracellular transport69","0.185965480917268","0.238341312881455","CESC","IIIB","intracellular transport"
"intracellular protein transport69","0.248035005266996","0.113238791888021","CESC","IIIB","intracellular protein transport"
"transport along microtubule69","0.00397050482132728","0.98009059108678","CESC","IIIB","transport along microtubule"
"vesicle lumen69","0.187910217972612","0.23337995619903","CESC","IIIB","vesicle lumen"
"vesicle membrane69","0.238959565675391","0.127489989561072","CESC","IIIB","vesicle membrane"
"vesicle organization69","0.288712422007941","0.0636947317116721","CESC","IIIB","vesicle organization"
"vesicle targeting69","0.133781703265538","0.398308611316935","CESC","IIIB","vesicle targeting"
"vesicle docking69","0.0947249007373795","0.55070402765076","CESC","IIIB","vesicle docking"
"clathrin coated vesicle69","0.301515274288956","0.0523191210716811","CESC","IIIB","clathrin coated vesicle"
"copi coated vesicle69","0.0109391459363099","0.945183618833555","CESC","IIIB","copi coated vesicle"
"vesicle tethering69","0.262458471760797","0.0931179947066334","CESC","IIIB","vesicle tethering"
"intercellular transport69","0.520460254436431","0.000410494125021366","CESC","IIIB","intercellular transport"
"regulation of vesicle fusion69","0.100883234745969","0.524976955190484","CESC","IIIB","regulation of vesicle fusion"
"coated vesicle123","0.196466324373301","0.206696362239378","CESC","IIB","coated vesicle"
"endocytic vesicle123","0.327242524916944","0.0321929506551415","CESC","IIB","endocytic vesicle"
"phagocytic vesicle123","0.305949864089399","0.0460145092646904","CESC","IIB","phagocytic vesicle"
"secretory vesicle123","0.26940501359106","0.0806352047380079","CESC","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking123","0.00739957716701903","0.962439058208855","CESC","IIB","vesicle cytoskeletal trafficking"
"exocytosis123","0.192691029900332","0.215728247311931","CESC","IIB","exocytosis"
"endocytosis123","0.266082754454847","0.0845904787173775","CESC","IIB","endocytosis"
"secretion123","0.192389006342495","0.216462435450346","CESC","IIB","secretion"
"intracellular transport123","0.24509211718514","0.113174240564813","CESC","IIB","intracellular transport"
"intracellular protein transport123","0.246149199637572","0.11157902961249","CESC","IIB","intracellular protein transport"
"transport along microtubule123","0.0311084264572637","0.843022862248844","CESC","IIB","transport along microtubule"
"vesicle lumen123","0.350649350649351","0.0211474773922475","CESC","IIB","vesicle lumen"
"vesicle membrane123","0.22697070371489","0.143284458042968","CESC","IIB","vesicle membrane"
"vesicle organization123","0.221232256115977","0.153953801416735","CESC","IIB","vesicle organization"
"vesicle targeting123","0.108577469042585","0.488270000283611","CESC","IIB","vesicle targeting"
"vesicle docking123","0.288734521292661","0.0604111855550906","CESC","IIB","vesicle docking"
"clathrin coated vesicle123","0.250981576562972","0.104503342145917","CESC","IIB","clathrin coated vesicle"
"copi coated vesicle123","-0.0270311084264573","0.863388020075679","CESC","IIB","copi coated vesicle"
"vesicle tethering123","0.197674418604651","0.203862816764958","CESC","IIB","vesicle tethering"
"intercellular transport123","0.389006342494715","0.00993301653844147","CESC","IIB","intercellular transport"
"regulation of vesicle fusion123","0.345061914829357","0.0234422951359821","CESC","IIB","regulation of vesicle fusion"
"coated vesicle218","-0.0205846784794153","0.858963163903965","CESC","IB1","coated vesicle"
"endocytic vesicle218","0.431805037068195","8.8121229454341e-05","CESC","IB1","endocytic vesicle"
"phagocytic vesicle218","0.426205373573795","0.000111175656629214","CESC","IB1","phagocytic vesicle"
"secretory vesicle218","0.406593406593407","0.0002431635615463","CESC","IB1","secretory vesicle"
"vesicle cytoskeletal trafficking218","0.125584941374415","0.27646530868451","CESC","IB1","vesicle cytoskeletal trafficking"
"exocytosis218","0.30416951469583","0.00715667072229031","CESC","IB1","exocytosis"
"endocytosis218","0.292470687207529","0.00984728728606088","CESC","IB1","endocytosis"
"secretion218","0.203007518796992","0.076604764608974","CESC","IB1","secretion"
"intracellular transport218","0.0132236184867764","0.909123797795689","CESC","IB1","intracellular transport"
"intracellular protein transport218","0.0443240969556759","0.701891123702866","CESC","IB1","intracellular protein transport"
"transport along microtubule218","-0.0751091014248909","0.516197791233364","CESC","IB1","transport along microtubule"
"vesicle lumen218","0.429070929070929","9.87599459865152e-05","CESC","IB1","vesicle lumen"
"vesicle membrane218","0.280140911719859","0.0136005006781403","CESC","IB1","vesicle membrane"
"vesicle organization218","0.132288763867711","0.251426608545369","CESC","IB1","vesicle organization"
"vesicle targeting218","-0.222172564277827","0.0521353441998929","CESC","IB1","vesicle targeting"
"vesicle docking218","0.106998264893002","0.354336099035272","CESC","IB1","vesicle docking"
"clathrin coated vesicle218","0.123297754876702","0.285376388827047","CESC","IB1","clathrin coated vesicle"
"copi coated vesicle218","-0.278011462221989","0.0143608340107235","CESC","IB1","copi coated vesicle"
"vesicle tethering218","-0.124033860875966","0.282487929847087","CESC","IB1","vesicle tethering"
"intercellular transport218","0.391214049108786","0.000434712114643965","CESC","IB1","intercellular transport"
"regulation of vesicle fusion218","0.348703927651296","0.00188363690890903","CESC","IB1","regulation of vesicle fusion"
"coated vesicle316","0.142857142857143","0.759945300218093","CESC","IIA2","coated vesicle"
"endocytic vesicle316","0.821428571428571","0.0234488083456914","CESC","IIA2","endocytic vesicle"
"phagocytic vesicle316","0.607142857142857","0.148231161481161","CESC","IIA2","phagocytic vesicle"
"secretory vesicle316","0.678571428571429","0.0937502539598314","CESC","IIA2","secretory vesicle"
"vesicle cytoskeletal trafficking316","-0.0714285714285714","0.879048193148154","CESC","IIA2","vesicle cytoskeletal trafficking"
"exocytosis316","0.285714285714286","0.534509228601041","CESC","IIA2","exocytosis"
"endocytosis316","0.571428571428571","0.180201988911528","CESC","IIA2","endocytosis"
"secretion316","0.464285714285714","0.293934107600252","CESC","IIA2","secretion"
"intracellular transport316","-0.107142857142857","0.819150855569991","CESC","IIA2","intracellular transport"
"intracellular protein transport316","-0.5","0.253169995100323","CESC","IIA2","intracellular protein transport"
"transport along microtubule316","-0.321428571428571","0.482072038299678","CESC","IIA2","transport along microtubule"
"vesicle lumen316","0.642857142857143","0.119392373427411","CESC","IIA2","vesicle lumen"
"vesicle membrane316","0.75","0.0521814004570578","CESC","IIA2","vesicle membrane"
"vesicle organization316","-0.107142857142857","0.819150855569991","CESC","IIA2","vesicle organization"
"vesicle targeting316","-0.607142857142857","0.148231161481161","CESC","IIA2","vesicle targeting"
"vesicle docking316","0.107142857142857","0.819150855569991","CESC","IIA2","vesicle docking"
"clathrin coated vesicle316","0.321428571428571","0.482072038299678","CESC","IIA2","clathrin coated vesicle"
"copi coated vesicle316","-0.357142857142857","0.431611352038328","CESC","IIA2","copi coated vesicle"
"vesicle tethering316","-0.642857142857143","0.119392373427411","CESC","IIA2","vesicle tethering"
"intercellular transport316","0.678571428571429","0.0937502539598314","CESC","IIA2","intercellular transport"
"regulation of vesicle fusion316","0.535714285714286","0.215217455678013","CESC","IIA2","regulation of vesicle fusion"
"coated vesicle412","-0.0538461538461538","0.744753681228218","CESC","IB2","coated vesicle"
"endocytic vesicle412","0.416194331983806","0.00840555228894369","CESC","IB2","endocytic vesicle"
"phagocytic vesicle412","0.330769230769231","0.0397112043042944","CESC","IB2","phagocytic vesicle"
"secretory vesicle412","0.115587044534413","0.48348431925442","CESC","IB2","secretory vesicle"
"vesicle cytoskeletal trafficking412","0.135425101214575","0.411071127353905","CESC","IB2","vesicle cytoskeletal trafficking"
"exocytosis412","0.169838056680162","0.301293516770873","CESC","IB2","exocytosis"
"endocytosis412","0.170445344129555","0.299542690185264","CESC","IB2","endocytosis"
"secretion412","0.0437246963562753","0.791546578933605","CESC","IB2","secretion"
"intracellular transport412","0.0441295546558704","0.789659759057552","CESC","IB2","intracellular transport"
"intracellular protein transport412","-0.00222672064777328","0.989266038496362","CESC","IB2","intracellular protein transport"
"transport along microtubule412","-0.0149797570850202","0.92788204314755","CESC","IB2","transport along microtubule"
"vesicle lumen412","0.18582995951417","0.257361318931436","CESC","IB2","vesicle lumen"
"vesicle membrane412","0.0842105263157895","0.610267793184047","CESC","IB2","vesicle membrane"
"vesicle organization412","0.137651821862348","0.403348834696865","CESC","IB2","vesicle organization"
"vesicle targeting412","-0.0238866396761134","0.885232712797974","CESC","IB2","vesicle targeting"
"vesicle docking412","0.108502024291498","0.51086303970829","CESC","IB2","vesicle docking"
"clathrin coated vesicle412","0.120647773279352","0.464406475879418","CESC","IB2","clathrin coated vesicle"
