"","correlation","pvalue","tumor","stage","process"
"vesicle tethering10","0.428571428571429","0.396501457725948","BRCA","II","vesicle tethering"
"intercellular transport10","0.0285714285714286","0.957154518950437","BRCA","II","intercellular transport"
"regulation of vesicle fusion10","-0.0285714285714286","0.957154518950437","BRCA","II","regulation of vesicle fusion"
"coated vesicle11","0.329519331243469","5.50696177765708e-05","COAD","IIA","coated vesicle"
"endocytic vesicle11","0.434860541757093","5.14186493383306e-08","COAD","IIA","endocytic vesicle"
"phagocytic vesicle11","0.457262277951933","8.3403528527981e-09","COAD","IIA","phagocytic vesicle"
"secretory vesicle11","0.360658307210031","8.97229722163218e-06","COAD","IIA","secretory vesicle"
"vesicle cytoskeletal trafficking11","0.259155212603488","0.00170963446296746","COAD","IIA","vesicle cytoskeletal trafficking"
"exocytosis11","0.387400530503979","1.61089355565913e-06","COAD","IIA","exocytosis"
"endocytosis11","0.42336628888353","1.24404021306646e-07","COAD","IIA","endocytosis"
"secretion11","0.345486697210835","2.22476495728152e-05","COAD","IIA","secretion"
"intracellular transport11","0.261944377461619","0.00151652171689109","COAD","IIA","intracellular transport"
"intracellular protein transport11","0.271593923318061","0.000991801699352202","COAD","IIA","intracellular protein transport"
"transport along microtubule11","0.309416445623342","0.000160861546711022","COAD","IIA","transport along microtubule"
"vesicle lumen11","0.274117836186802","0.000885252259570812","COAD","IIA","vesicle lumen"
"vesicle membrane11","0.386287275942448","1.73560444372001e-06","COAD","IIA","vesicle membrane"
"vesicle organization11","0.360658307210031","8.97229722163218e-06","COAD","IIA","vesicle organization"
"vesicle targeting11","0.103838115907081","0.215512725517614","COAD","IIA","vesicle targeting"
"vesicle docking11","0.378474399164054","2.90675383340933e-06","COAD","IIA","vesicle docking"
"clathrin coated vesicle11","0.366501888915682","6.24520089465008e-06","COAD","IIA","clathrin coated vesicle"
"copi coated vesicle11","0.10449722691102","0.212597971780656","COAD","IIA","copi coated vesicle"
"vesicle tethering11","0.276858773410498","0.000781508209672266","COAD","IIA","vesicle tethering"
"intercellular transport11","0.123330118157704","0.14083430819227","COAD","IIA","intercellular transport"
"regulation of vesicle fusion11","0.348730005626557","1.8393708005382e-05","COAD","IIA","regulation of vesicle fusion"
"coated vesicle12","0.270297304806891","0.0367326547782663","COAD","IIIB","coated vesicle"
"endocytic vesicle12","0.319811058627397","0.0127408391678721","COAD","IIIB","endocytic vesicle"
"phagocytic vesicle12","0.270797443734371","0.0363724607725404","COAD","IIIB","phagocytic vesicle"
"secretory vesicle12","0.24256737982773","0.0618472777968195","COAD","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking12","0.269130313976104","0.037584625228043","COAD","IIIB","vesicle cytoskeletal trafficking"
"exocytosis12","0.335982217282578","0.00867673725553697","COAD","IIIB","exocytosis"
"endocytosis12","0.375882189497083","0.00307950325924988","COAD","IIIB","endocytosis"
"secretion12","0.331814392886913","0.00959798679075563","COAD","IIIB","secretion"
"intracellular transport12","0.290025006946374","0.0245877606195872","COAD","IIIB","intracellular transport"
"intracellular protein transport12","0.261850514031675","0.0432765292957473","COAD","IIIB","intracellular protein transport"
"transport along microtubule12","0.506751875520978","3.60355745741003e-05","COAD","IIIB","transport along microtubule"
"vesicle lumen12","0.113142539594332","0.389386234327417","COAD","IIIB","vesicle lumen"
"vesicle membrane12","0.340594609613782","0.0077478334357215","COAD","IIIB","vesicle membrane"
"vesicle organization12","0.466018338427341","0.000175053528755686","COAD","IIIB","vesicle organization"
"vesicle targeting12","0.261072520144485","0.0439246861819709","COAD","IIIB","vesicle targeting"
"vesicle docking12","0.342484023339817","0.00739312994362828","COAD","IIIB","vesicle docking"
"clathrin coated vesicle12","0.282745207001945","0.0286010710293865","COAD","IIIB","clathrin coated vesicle"
"copi coated vesicle12","0.125145873853848","0.340723626248111","COAD","IIIB","copi coated vesicle"
"vesicle tethering12","0.418560711308697","0.000874142828422908","COAD","IIIB","vesicle tethering"
"intercellular transport12","0.201667129758266","0.122305263685951","COAD","IIIB","intercellular transport"
"regulation of vesicle fusion12","0.270964156710197","0.0362530494285376","COAD","IIIB","regulation of vesicle fusion"
"coated vesicle21","-0.0553625705601389","0.708598219326999","COAD","IV","coated vesicle"
"endocytic vesicle21","-0.0127008250108554","0.931722553544535","COAD","IV","endocytic vesicle"
"phagocytic vesicle21","-0.111810681719496","0.449286684918827","COAD","IV","phagocytic vesicle"
"secretory vesicle21","-0.0097698653929657","0.947453531811445","COAD","IV","secretory vesicle"
"vesicle cytoskeletal trafficking21","-0.189101172383847","0.198008199896942","COAD","IV","vesicle cytoskeletal trafficking"
"exocytosis21","-0.025293095961789","0.864503890098528","COAD","IV","exocytosis"
"endocytosis21","0.049174989144594","0.739953734736278","COAD","IV","endocytosis"
"secretion21","-0.0328918801563178","0.8243647071639","COAD","IV","secretion"
"intracellular transport21","-0.220473295701259","0.132113958578096","COAD","IV","intracellular transport"
"intracellular protein transport21","-0.206035605731654","0.16003468003592","COAD","IV","intracellular protein transport"
"transport along microtubule21","0.0716456795484151","0.62844677497607","COAD","IV","transport along microtubule"
"vesicle lumen21","-0.0584020842379505","0.693364988921913","COAD","IV","vesicle lumen"
"vesicle membrane21","-0.034845853234911","0.814110353030745","COAD","IV","vesicle membrane"
"vesicle organization21","-0.135909683022145","0.357012338177267","COAD","IV","vesicle organization"
"vesicle targeting21","-0.124728614850195","0.39829390911181","COAD","IV","vesicle targeting"
"vesicle docking21","-0.0619843682153713","0.675564607758245","COAD","IV","vesicle docking"
"clathrin coated vesicle21","-0.05188884064264","0.726146351446832","COAD","IV","clathrin coated vesicle"
"copi coated vesicle21","0.12679114198871","0.390476903463312","COAD","IV","copi coated vesicle"
"vesicle tethering21","0.160008684324794","0.277315709228171","COAD","IV","vesicle tethering"
"intercellular transport21","0.137755102040816","0.35045891923157","COAD","IV","intercellular transport"
"regulation of vesicle fusion21","0.0495006513243595","0.738292465374735","COAD","IV","regulation of vesicle fusion"
"coated vesicle31","0.30952380952381","0.455644890737582","COAD","IIIA","coated vesicle"
"endocytic vesicle31","0.333333333333333","0.419753086419753","COAD","IIIA","endocytic vesicle"
"phagocytic vesicle31","0.142857142857143","0.735764859879812","COAD","IIIA","phagocytic vesicle"
"secretory vesicle31","0.119047619047619","0.77888572605238","COAD","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking31","0.0952380952380952","0.822505430203611","COAD","IIIA","vesicle cytoskeletal trafficking"
"exocytosis31","0.166666666666667","0.693238811728395","COAD","IIIA","exocytosis"
"endocytosis31","0.238095238095238","0.570156320815768","COAD","IIIA","endocytosis"
"secretion31","0.119047619047619","0.77888572605238","COAD","IIIA","secretion"
"intracellular transport31","0.357142857142857","0.385120643556256","COAD","IIIA","intracellular transport"
"intracellular protein transport31","0.285714285714286","0.492726245016957","COAD","IIIA","intracellular protein transport"
"transport along microtubule31","0.380952380952381","0.351812553117565","COAD","IIIA","transport along microtubule"
"vesicle lumen31","0.166666666666667","0.693238811728395","COAD","IIIA","vesicle lumen"
"vesicle membrane31","0.19047619047619","0.651401495702482","COAD","IIIA","vesicle membrane"
"vesicle organization31","0.238095238095238","0.570156320815768","COAD","IIIA","vesicle organization"
